,Symbol,Stock Price,Market Capitalization,Number of Stocks to Buy
0,MMM,178.5,106478515863,11
1,AOS,87.42,13565445684,22
2,ABT,140.82,243860521452,14
3,ABBV,132.49,234762634176,14
4,ABMD,324.82,14416786135,6
5,ACN,413.73,271865554833,4
6,ATVI,63.862,48778497760,31
7,ADM,66.934,37697362455,29
8,ADBE,576.3,280652369062,3
9,AAP,240.88,15358072741,8
10,AMD,139.37,171500042950,14
11,AES,24.716,16694257953,80
12,AFL,58.745,38196719133,33
13,A,151.59,46048893017,13
14,APD,304.41,69053200151,6
15,AKAM,121.49,19403184443,16
16,ALK,49.09,6308695874,40
17,ALB,230.43,27368843252,8
18,ARE,222.04,34642804576,8
19,ALGN,608.27,48794210064,3
20,ALLE,132.39,12038600960,14
21,LNT,61.0,15624897661,32
22,ALL,119.7,33997240238,16
23,GOOGL,2915.06,2000242404373,0
24,GOOG,2961.59,2017209502772,0
25,MO,47.994,90447350732,41
26,AMZN,3406.1,1794924655182,0
27,AMCR,12.113,18580060554,163
28,AEE,89.8,22833065182,22
29,AAL,17.02,10970014348,116
30,AEP,90.873,45346962249,21
31,AXP,167.3,131352396462,11
32,AIG,57.12,47537564965,34
33,AMT,281.8,128245569759,7
34,AWK,185.02,34498899896,10
35,AMP,314.62,34195755381,6
36,ABC,129.86,26080531893,15
37,AME,149.07,33171803216,13
38,AMGN,232.2,128424790166,8
39,APH,86.96,51020299841,22
40,ADI,175.79,65958158311,11
41,ANSS,402.43,34886456633,4
42,ANTM,455.59,109858468113,4
43,AON,307.74,65561094183,6
44,APA,25.58,9062939050,77
45,AAPL,174.027,2820505650422,11
46,AMAT,151.94,136223399010,13
47,APTV,170.15,44195361596,11
48,ANET,131.5,10504914449,15
49,AJG,168.13,35347121318,11
50,AIZ,158.67,8920361118,12
51,T,24.75,169804788371,80
52,ATO,103.58,13285571382,19
53,ADSK,279.2,59466093264,7
54,ADP,234.02,98858415426,8
55,AZO,2075.5,43359485833,0
56,AVB,246.22,35053189836,8
57,AVY,216.0,17915017552,9
58,BKR,24.647,25063329938,80
59,BLL,95.99,31060553872,20
60,BAC,47.0,371486554185,42
61,BBWI,70.21,17926984488,28
62,BAX,85.0,42863343871,23
63,BDX,268.34,73092850008,7
64,BRK.B,307.83,675263736635,6
65,BBY,101.0,25192641096,19
66,BIO,754.09,22524800377,2
67,TECH,467.44,18872886671,4
68,BIIB,245.29,35955998050,8
69,BLK,961.398,144307100112,2
70,BK,58.721,49215785397,33
71,BA,191.15,114134937059,10
72,BKNG,2221.97,88767046199,0
73,BWA,45.4,10671037854,43
74,BXP,118.33,18044357465,16
75,BSX,42.32,59760808646,46
76,BMY,63.69,141519176299,31
77,AVGO,647.25,261842638106,3
78,BR,180.11,21849238657,11
79,BRO,68.23,19267493117,29
80,BF.B,73.32,35482764292,27
81,CHRW,106.4,14157022099,18
82,CDNS,181.501,52153483279,10
83,CZR,88.29,18471544546,22
84,CPB,44.268,13586918016,44
85,COF,154.519,64866236666,12
86,CAH,50.9,14307615927,38
87,KMX,142.77,22532338400,13
88,CCL,18.05,19941823075,109
89,CARR,55.47,48498292295,35
90,CTLT,127.62,22602174391,15
91,CAT,210.48,111715256351,9
92,CBOE,132.09,14447565091,15
93,CBRE,105.9,36752907632,18
94,CDW,188.34,26188582998,10
95,CE,167.15,17906731411,11
96,CNC,86.72,49885721073,22
97,CNP,28.123,17867906526,70
98,CDAY,101.0,15878425799,19
99,CERN,82.9,23626319231,23
100,CF,64.878,14106087351,30
101,CRL,360.1,18626864597,5
102,SCHW,86.78,164617907639,22
103,CHTR,651.02,117309055569,3
104,CVX,122.26,230399728031,16
105,CMG,1740.57,47727335289,1
106,CB,204.378,85569386695,9
107,CHD,102.94,25577997171,19
108,CI,225.33,73479209730,8
109,CINF,121.56,19073284503,16
110,CTAS,469.0,47681382419,4
111,CSCO,61.65,267431441926,32
112,C,64.06,129369619350,30
113,CFG,47.29,20073229182,41
114,CTXS,88.02,10749444502,22
115,CLX,183.985,22520085241,10
116,CME,231.8,84102453159,8
117,CMS,66.8,19510115861,29
118,KO,60.2,258825291471,32
119,CTSH,85.221,45965134738,23
120,CL,86.42,71948298880,22
121,CMCSA,50.14,230478451382,39
122,CMA,89.25,11879235492,22
123,CAG,34.946,16976197852,56
124,COP,73.32,97188688792,27
125,ED,88.329,30715970498,22
126,STZ,241.8,46548028875,8
127,CPRT,151.93,36108539394,13
128,GLW,38.579,32778267536,51
129,CTVA,47.73,34451198634,41
130,COST,568.74,254070230885,3
131,CTRA,20.89,16753165696,94
132,CCI,202.31,87879782385,9
133,CSX,37.287,85405278572,53
134,CMI,223.13,31371357899,8
135,CVS,101.54,135080596812,19
136,DHI,104.85,39060771966,18
137,DHR,327.91,236497571410,6
138,DRI,152.97,19335185116,12
139,DVA,108.6,11150374069,18
140,DE,349.72,110282184991,5
141,DAL,36.613,23964821371,54
142,XRAY,55.404,12326929981,35
143,DVN,41.4,27858846216,47
144,DXCM,555.8,52092775933,3
145,FANG,106.487,19676858144,18
146,DLR,171.89,48751106433,11
147,DFS,119.42,34514104956,16
148,DISCA,23.52,11763813012,84
149,DISCK,23.517,12018591514,84
150,DISH,32.93,17045784685,60
151,DG,234.0,52460519519,8
152,DLTR,143.217,32207339016,13
153,D,78.91,65949060676,25
154,DPZ,554.8,20048076151,3
155,DOV,172.56,24934543704,11
156,DOW,55.31,41188098154,35
157,DTE,120.89,24326438285,16
158,DUK,107.44,81027070891,18
159,DRE,63.28,24199023360,31
160,DD,82.074,42941669450,24
161,DXC,32.36,8110358759,61
162,EMN,124.13,16646522873,15
163,ETN,172.69,67949759720,11
164,EBAY,67.24,43295754495,29
165,ECL,236.51,67441737870,8
166,EIX,68.42,27042501848,28
167,EW,122.57,77963439012,16
168,EA,131.44,37147148788,15
169,LLY,281.88,276052926351,7
170,EMR,98.24,56219448341,20
171,ENPH,199.75,25997422193,9
172,ETR,111.5,22849941965,17
173,EOG,86.56,52910046119,22
174,EFX,301.88,36293995463,6
175,EQIX,823.494,74064260042,2
176,EQR,89.8,34161053677,22
177,ESS,353.23,22721781129,5
178,EL,372.86,136792779679,5
179,ETSY,216.674,27971336860,9
180,RE,272.06,10872366919,7
181,EVRG,69.919,16034677354,28
182,ES,93.44,31797401732,21
183,EXC,56.51,54960126854,35
184,EXPE,153.852,23219240088,12
185,EXPD,141.35,23666032746,14
186,EXR,223.25,28587246130,8
187,XOM,61.61,270735866739,32
188,FFIV,243.38,14755528849,8
189,FB,343.813,972520970960,5
190,FAST,63.97,37140330461,31
191,FRT,128.99,10182246534,15
192,FDX,241.6,64878171504,8
193,FIS,109.88,67552408011,18
194,FITB,43.874,29949079172,45
195,FRC,208.31,36567076628,9
196,FE,42.22,22684885608,46
197,FISV,108.34,71145977318,18
198,FLT,222.13,17590746815,8
199,FMC,109.57,13752435792,18
200,F,20.384,82336848298,97
201,FTNT,323.83,54433196169,6
202,FTV,76.96,28003728850,25
203,FBHS,105.09,14397997859,18
204,FOXA,37.7,21115948405,52
205,FOX,35.2,21133497437,56
206,BEN,35.63,17227732123,55
207,FCX,39.715,57364995891,49
208,GPS,17.12,6386554130,115
209,GRMN,136.67,26295512309,14
210,IT,339.17,26770335644,5
211,GNRC,349.4,22176280402,5
212,GD,209.8,57991481148,9
213,GE,96.53,101975022020,20
214,GIS,70.772,42634014677,28
215,GM,60.419,87052996285,32
216,GPC,139.29,20031354034,14
217,GILD,72.7,95172527930,27
218,GPN,130.86,36765694245,15
219,GL,92.588,9635967654,21
220,GS,411.44,136751740430,4
221,HAL,22.84,20700699919,86
222,HBI,17.34,6077130022,114
223,HAS,104.02,14235223288,19
224,HCA,266.8,82874838605,7
225,PEAK,35.94,18738615157,55
226,HSIC,76.85,10588695618,25
227,HES,77.9,24395134096,25
228,HPE,15.608,20131971599,127
229,HLT,144.66,40411377986,13
230,HOLX,78.6,20091195295,25
231,HD,416.81,434856795811,4
232,HON,212.99,149469965632,9
233,HRL,51.27,27291965448,38
234,HST,15.55,11121388288,127
235,HWM,30.75,12740372722,64
236,HPQ,38.08,41205587761,52
